index,x[mm],y[mm]
259,31.500000,-10.911920
260,23.100000,25.461147
261,-10.500000,32.735760
262,-33.600000,7.274613
263,-23.100000,-25.461147
264,10.500000,-32.735760
265,33.600000,-7.274613
266,21.000000,29.098454
267,-14.700000,32.735760
268,-35.700000,3.637307
269,-21.000000,-29.098454
270,14.700000,-32.735760
271,35.700000,-3.637307
272,23.100000,32.735760
273,-16.800000,36.373067
274,-39.900000,3.637307
275,-23.100000,-32.735760
276,16.800000,-36.373067
277,39.900000,-3.637307
278,25.200000,29.098454
279,-12.600000,36.373067
280,-37.800000,7.274613
281,-25.200000,-29.098454
282,12.600000,-36.373067
283,37.800000,-7.274613
284,27.300000,25.461147
285,-8.400000,36.373067
286,-35.700000,10.911920
287,-27.300000,-25.461147
288,8.400000,-36.373067
289,35.700000,-10.911920
290,29.400000,21.823840
291,-4.200000,36.373067
292,-33.600000,14.549227
293,-29.400000,-21.823840
294,4.200000,-36.373067
295,33.600000,-14.549227
296,31.500000,18.186533
297,0.000000,36.373067
298,-31.500000,18.186533
299,-31.500000,-18.186533
300,0.000000,-36.373067
301,31.500000,-18.186533
302,33.600000,14.549227
303,4.200000,36.373067
304,-29.400000,21.823840
305,-33.600000,-14.549227
306,-4.200000,-36.373067
307,29.400000,-21.823840
308,35.700000,10.911920
309,8.400000,36.373067
310,-27.300000,25.461147
311,-35.700000,-10.911920
312,-8.400000,-36.373067
313,27.300000,-25.461147
314,37.800000,7.274613
315,12.600000,36.373067
316,-25.200000,29.098454
317,-37.800000,-7.274613
318,-12.600000,-36.373067
319,25.200000,-29.098454
320,39.900000,3.637307
321,16.800000,36.373067
322,-23.100000,32.735760
323,-39.900000,-3.637307
324,-16.800000,-36.373067
325,23.100000,-32.735760
326,42.000000,0.000000
327,21.000000,36.373067
328,-42.000000,0.000000
329,-21.000000,-36.373067
330,14.700000,-40.010374
331,44.100000,-3.637307
332,29.400000,29.098454
333,-10.500000,40.010374
334,12.600000,43.647680
335,-25.200000,-36.373067
336,10.500000,-40.010374
337,42.000000,-7.274613
338,31.500000,25.461147
339,-6.300000,40.010374
340,-42.000000,7.274613
341,-27.300000,-32.735760
342,6.300000,-40.010374
343,39.900000,-10.911920
344,33.600000,21.823840
345,-2.100000,40.010374
346,-39.900000,10.911920
347,-29.400000,-29.098454
348,2.100000,-40.010374
349,37.800000,-14.549227
350,35.700000,18.186533
351,2.100000,40.010374
352,-37.800000,14.549227
353,-31.500000,-25.461147
354,-2.100000,-40.010374
355,35.700000,-18.186533
356,37.800000,14.549227
357,6.300000,40.010374
358,-35.700000,18.186533
359,-33.600000,-21.823840
360,-6.300000,-40.010374
361,33.600000,-21.823840
362,39.900000,10.911920
363,10.500000,40.010374
364,-33.600000,21.823840
365,-35.700000,-18.186533
366,-10.500000,-40.010374
367,31.500000,-25.461147
368,42.000000,7.274613
369,14.700000,40.010374
370,-31.500000,25.461147
